id,name,music_brainz_id,music_brainz_name,area,country,begin_area,life_span_begin,music_brainz_type,isni_list,genre1,genre2,genre3,genre4,genre5
540,Drake Bell,094f10e7-27d5-400d-a145-331013e67229,Drake Bell,United States,US,,1986-06-27,Person,,Alternative,Pop,Rock,,
127,3OH!3,125948ec-7f91-4d1a-8b83-accbf50fae3d,3OH!3,United States,US,,2004,Group,,Alternative,Rock,,,
6327,Neon Trees,16243662-8538-4746-a0fb-0d15b5828b8e,Neon Trees,United States,US,,2005,Group,,Alternative,,,,
63,OneRepublic,c33c2065-b1c3-4406-b066-d33a9e2ea71a,OneRepublic,United States,US,Colorado,2004,Group,,Alternative,Pop,Rock,,
245,Boys Like Girls,d6e65033-b56a-49df-8744-6fc3ffd75edd,Boys Like Girls,United States,US,,2005,Group,,Alternative,Rock,,,
61,Paramore,44cf61b8-5197-448a-b82b-cef6ee89fac5,Paramore,United States,US,Franklin,2002,Group,0000000119550043,Alternative,Pop,,,
713,Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234,Coldplay,United Kingdom,GB,London,1996-09,Group,000000011551394X,Alternative,Pop,Rock,,
2258,Linkin Park,f59c5520-5f46-4d2c-b2c4-822eabf53419,Linkin Park,United States,US,,1995,Group,,Alternative,Rock,,,
1523,Sheryl Crow,80ccfede-c258-4575-a7ad-c982e9932e0f,Sheryl Crow,United States,US,Kennett,1962-02-11,Person,0000000114462378,Alternative,Pop,Rock,,
6474,Lifehouse,04591295-6d94-45cb-b6c7-1ae17c6f380e,Lifehouse,United States,US,Los Angeles,1996,Group,0000000106729378,Alternative,Pop,,,
10649,Snow Patrol,a66999a7-ae5c-460e-ba94-1a01143ae847,Snow Patrol,United Kingdom,GB,Dundee,1994,Group,0000000123149340,Alternative,,,,
59954,Alex Lloyd,a99af284-6342-4609-952a-89b02a600615,Alex Lloyd,Australia,AU,Sydney,1974-09-01,Person,0000000063249154,Alternative,Pop,Rock,,
11091,Three Days Grace,fabb37f8-eb2a-4cc1-a72a-b56935bbb72d,Three Days Grace,Canada,CA,,1997,Group,,Alternative,Rock,,,
287045,Bobby Brackins,ed79aaf4-2b64-4d29-b769-60aff85eb65f,陳昇,Taiwan,TW,,1958-10-29,Person,,Rap,Alternative,,,
14,We The Kings,6ec79457-b06b-4e3b-83f9-9b26fc7a99bc,We the Kings,United States,US,,2005,Group,,Alternative,Rock,,,
642,My Chemical Romance,c07f0676-9143-4217-8a9f-4c26bd636f13,My Chemical Romance,United States,US,,2001,Group,,Metal,Alternative,Rock,,
2735,Phoenix,8d455809-96b3-4bb6-8829-ea4beb580d35,Phoenix,France,FR,Versailles,1999,Group,,Alternative,,,,
199815,My Darkest Days,056bb0bc-6af7-4c25-bbfe-f96c6e6d9feb,My Darkest Days,Canada,CA,,2005,Group,,Alternative,Rock,,,
31869,Marion Raven,35c5203e-8e88-4f36-9e13-1ede9e059e43,Marion Raven,Norway,NO,,1984-05-25,Person,0000000071235238,Alternative,Pop,Rock,,
76230,Soundgarden,153c9281-268f-4cf3-8938-f5a4593e5df4,Soundgarden,United States,US,Seattle,1984,Group,0000000115264752,Alternative,Rock,,,
2380,Breaking Benjamin,854a1807-025b-42a8-ba8c-2a39717f1d25,Breaking Benjamin,United States,US,Pennsylvania,1998,Group,,Metal,Alternative,Rock,,
2423,Theory of a Deadman,183e636e-d41c-43fe-a428-8a034eb20c7b,Theory of a Deadman,Canada,CA,British Columbia,2001,Group,,Alternative,Rock,,,
22906,Hot Chelle Rae,20aee940-3b65-4d04-8768-9a5918db2973,Hot Chelle Rae,United States,US,,2005,Group,,Alternative,Pop,Rock,,
114402,Red Hot Chili Peppers,8bfac288-ccc5-448d-9573-c33ea2aa5c30,Red Hot Chili Peppers,United States,US,Los Angeles,1983,Group,0000000122900470,Alternative,Rock,,,
10795,Sick Puppies,86f78011-5087-48d2-8922-c381d2eb0c40,Sick Puppies,Australia,AU,,1997,Group,,Alternative,Rock,,,
4760,Evanescence,f4a31f0a-51dd-4fa7-986d-3095c40c5ed9,Evanescence,United States,US,Little Rock,1995,Group,,Alternative,Pop,Rock,,
7296,Seether,fbcd7b29-455f-49e6-9c4f-8249d20a055e,Seether,South Africa,ZA,,2002,Group,,Metal,Alternative,Rock,,
6689,Josh Kelley,4e5d156b-d8c1-4758-818a-f23f9abd887b,Josh Kelley,United States,US,,1980-01-30,Person,,Country,Alternative,Rock,,
2200,30 Seconds to Mars,d8354b38-e942-4c89-ba93-29323432abc3,Thirty Seconds to Mars,United States,US,Los Angeles,1998,Group,0000000121613357,Alternative,Pop,Rock,,
24192,Yellowcard,3630fff3-52fc-4e97-ab01-d68fd88e4135,Yellowcard,Los Angeles,,Jacksonville,1997,Group,0000000115128435,Alternative,Rock,,,
2468,Jason Mraz,82eb8936-7bf6-4577-8320-a2639465206d,Jason Mraz,United States,US,Hanover County,1977-06-23,Person,0000000078448594,Alternative,Pop,,,
16509,OUTASIGHT,dc4b3fb1-8e03-4a81-96f9-e7f8a8e05be7,Outasight,United States,US,,,Person,,Alternative,HipHop,,,
2715,Future of the Left,82c5d269-41b3-498b-8596-d960c7556268,Future of the Left,United States,,,2005,Group,,Alternative,,,,
5870,Chronic Future,af065f9a-2c64-4e3e-84b1-1d20d6b13fb3,Chronic Future,United States,,,,Group,,Alternative,HipHop,,,
18339,The Futureheads,0cf9d983-aecf-4d57-9e94-fde2beac014f,The Futureheads,United Kingdom,GB,Sunderland,2000,Group,,Indie,Alternative,Rock,,
15570,Future of Forestry,c492befd-9c0b-434b-9a25-9dd3a9cd15e8,Future of Forestry,United States,US,,2006,Group,,Indie,Alternative,Rock,,
